0,1,1262454010
0,2,1262454010
0,3,1262454010
0,4,1262454010
0,5,1262454010
0,6,1262454010
0,7,1262454010
0,8,1262454010
0,9,1262454010
0,10,1262454010
0,11,1262454010
0,12,1262454010
0,13,1262454010
0,14,1262454010
0,15,1262454010
0,16,1262454010
17,18,1262583526
17,18,1262583575
19,2,1262585289
19,20,1262585429
19,21,1262585488
19,22,1262585516
23,24,1262586908
25,26,1262586943
27,28,1262587000
0,6,1262587114
28,29,1262587333
28,27,1262587438
10,30,1262587685
10,31,1262587685
10,24,1262587685
10,32,1262587685
30,10,1262587713
32,10,1262587750
0,6,1262587999
33,20,1262588054
34,2,1262588115
35,36,1262588121
35,36,1262588121
24,10,1262588321
24,23,1262588340
22,20,1262588413
35,37,1262588508
38,20,1262588513
12,2,1262588553
12,39,1262588553
12,7,1262588553
12,34,1262588553
12,40,1262588553
12,3,1262588553
41,42,1262588676
41,42,1262588678
41,42,1262588686
41,42,1262588688
41,43,1262588796
25,44,1262588892
45,20,1262588989
41,2,1262589053
15,0,1262589108
15,0,1262589145
46,47,1262589167
15,7,1262589178
46,47,1262589200
15,7,1262589210
48,41,1262589248
25,20,1262589265
48,20,1262589270
25,31,1262589278
28,21,1262589288
2,7,1262589314
2,12,1262589314
2,49,1262589314
2,34,1262589314
2,50,1262589314
2,51,1262589314
2,17,1262589314
2,52,1262589314
2,19,1262589314
49,2,1262589380
45,0,1262589421
53,16,1262589427
53,16,1262589427
2,49,1262589431
0,45,1262589489
54,55,1262589505
54,49,1262589564
7,2,1262589631
12,2,1262589677
26,41,1262589703
18,56,1262589730
41,26,1262589743
18,57,1262589780
18,49,1262589788
54,22,1262589827
18,20,1262589922
18,22,1262589922
58,1,1262589958
33,23,1262589962
38,26,1262589971
54,20,1262589986
23,33,1262590008
54,41,1262590037
34,2,1262590054
59,22,1262590477
58,1,1262590600
12,2,1262590666
17,2,1262590743
60,32,1262590820
60,22,1262590849
61,41,1262590932
61,62,1262590932
61,63,1262590932
12,2,1262590954
12,34,1262590954
12,3,1262590954
64,49,1262590990
64,22,1262591156
57,20,1262591326
2,65,1262591337
2,66,1262591337
2,7,1262591337
2,34,1262591337
2,67,1262591337
2,68,1262591337
2,16,1262591337
69,20,1262591410
24,23,1262591577
9,6,1262591631
4,70,1262591636
4,71,1262591636
4,72,1262591636
4,73,1262591636
4,10,1262591636
31,10,1262591640
9,20,1262591642
23,24,1262591667
3,12,1262591801
3,2,1262591801
50,2,1262591802
